"","Date","Entity","Code","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"230",2020-03-30,"Algeria","DZA",31,511,43851043,7.06938715231927e-07,1.16530865639844e-05,0.060665362035225
"231",2020-04-29,"Algeria","DZA",437,3649,43851043,9.96555543730169e-06,8.32135281252033e-05,0.119758838037819
"232",2020-04-30,"Algeria","DZA",444,3848,43851043,1.0125186760096e-05,8.77516185874986e-05,0.115384615384615
"233",2020-04-05,"Algeria","DZA",130,1251,43851043,2.96458170903711e-06,2.8528397830811e-05,0.103916866506795
"234",2020-03-19,"Algeria","DZA",6,72,43851043,1.36826848109405e-07,1.64192217731286e-06,0.0833333333333333
"235",2020-04-13,"Algeria","DZA",293,1914,43851043,6.68171108267596e-06,4.36477645469003e-05,0.153082549634274
"236",2020-04-26,"Algeria","DZA",419,3256,43851043,9.55507489297347e-06,7.42513695740373e-05,0.128685503685504
"237",2020-03-25,"Algeria","DZA",19,264,43851043,4.33285019013117e-07,6.02038131681383e-06,0.071969696969697
"238",2020-05-01,"Algeria","DZA",450,4006,43851043,1.02620136082054e-05,9.13547255877129e-05,0.112331502745881
"239",2020-04-01,"Algeria","DZA",44,716,43851043,1.00339688613564e-06,1.6328003874389e-05,0.0614525139664804
"240",2020-04-10,"Algeria","DZA",235,1666,43851043,5.35905155095171e-06,3.79922548250449e-05,0.141056422569028
"241",2020-04-03,"Algeria","DZA",63,986,43851043,1.43668190514876e-06,2.24852120393123e-05,0.063894523326572
"242",2020-03-31,"Algeria","DZA",35,584,43851043,7.98156613971531e-07,1.33178132159821e-05,0.0599315068493151
"243",2020-04-04,"Algeria","DZA",105,1171,43851043,2.39446984191459e-06,2.67040398560189e-05,0.089666951323655
"244",2020-04-23,"Algeria","DZA",402,2910,43851043,9.16739882333015e-06,6.63610213330616e-05,0.138144329896907
"245",2020-03-06,"Algeria","DZA",NA,17,43851043,NA,3.87676069643315e-07,NA
"246",2020-04-08,"Algeria","DZA",193,1468,43851043,4.40126361418587e-06,3.34769688374345e-05,0.131471389645777
"247",2020-03-16,"Algeria","DZA",4,48,43851043,9.12178987396035e-08,1.09461478487524e-06,0.0833333333333333
"248",2020-04-27,"Algeria","DZA",425,3382,43851043,9.69190174108288e-06,7.71247333843348e-05,0.125665286812537
"249",2020-03-18,"Algeria","DZA",5,60,43851043,1.14022373424504e-07,1.36826848109405e-06,0.0833333333333333
"250",2020-03-20,"Algeria","DZA",7,90,43851043,1.59631322794306e-07,2.05240272164108e-06,0.0777777777777778
"251",2020-04-02,"Algeria","DZA",58,847,43851043,1.32265953172425e-06,1.9315390058111e-05,0.0684769775678867
"252",2020-04-19,"Algeria","DZA",367,2535,43851043,8.36924220935862e-06,5.78093433262237e-05,0.144773175542406
"253",2020-04-22,"Algeria","DZA",392,2811,43851043,8.93935407648115e-06,6.41033783392564e-05,0.139452152258983
"254",2020-04-06,"Algeria","DZA",152,1320,43851043,3.46628015210493e-06,3.01019065840692e-05,0.115151515151515
"255",2020-04-25,"Algeria","DZA",415,3127,43851043,9.46385699423387e-06,7.13095923396851e-05,0.13271506236009
